IDCUSTOMER,GENDER,CITY,COUNTRY,FIRST_DEPOSIT_AMOUNT,REGISTRATION_DATE,DEPOSIT_DATE
8218752,M,çankırı,Turkey,200.0,2011-12-10,2022-03-01
7165305,M,Çanakkale,Turkey,100.0,2011-12-19,2022-04-11
7241520,M,zeytinburnu,Turkey,50.0,2011-12-25,2022-03-08
7264192,M,mimsin- kayseri,Turkey,100.0,2012-01-08,2022-04-01
8263387,M,kumluca,Turkey,190.0,2012-02-05,2022-08-02
7344863,M,İstanbul,Turkey,100.0,2012-02-15,2022-03-13
7351351,M,Kızıltepe,Turkey,50.0,2012-02-18,2022-05-28
7373957,M,istanbul,Turkey,500.0,2012-03-02,2022-07-13
8225920,M,bayrampasa,Turkey,300.0,2012-03-15,2022-02-12
7408728,M,afyon,Turkey,101.0,2012-03-18,2022-01-30
8260600,M,yıldırım,Turkey,250.0,2012-03-19,2022-02-21
7438278,M,TOKAT/Turhal,Turkey,1500.0,2012-04-04,2022-01-16
7440033,M,ANTALYA,Turkey,500.0,2012-04-06,2022-05-01
7456303,M,"k,maraş /elbistan",Turkey,450.0,2012-04-15,2022-02-10
7478352,M,Meram,Turkey,50.0,2012-05-01,2022-02-12
8230265,M,merkez,Turkey,94.0,2012-05-05,2022-02-23
7490799,M,İZMİR -- FOÇA,Turkey,55.0,2012-05-11,2022-03-16
7498184,M,Burdur,Turkey,59.0,2012-05-17,2022-03-02
7564764,M,Rize,Turkey,140.0,2012-06-28,2022-05-02
8255678,M,Trabzon,Turkey,1000.0,2012-08-20,2022-03-30
7632441,M,BAŞAKŞEHİR/İSTANBUL,Turkey,80.0,2012-09-01,2022-05-22
7649943,M,hatay,Turkey,50.0,2012-09-16,2022-02-15
8268056,M,izmir/konak,Turkey,50.0,2012-09-16,2022-02-19
8283692,M,Kocaeli,Turkey,800.0,2012-10-23,2022-01-23
7744144,M,istanbul kartal,Turkey,300.0,2012-11-06,2022-03-15
7750391,M,İzmir Konak,Turkey,700.0,2012-11-09,2022-06-23
7753822,M,Manisa,Turkey,100.0,2012-11-11,2022-05-06
8265802,M,manisa merkez,Turkey,100.0,2012-11-13,2022-01-21
8271128,M,didim/aydın,Turkey,100.0,2012-11-15,2022-06-13
7770203,M,Gümüşhane/merkez,Turkey,139.0,2012-11-23,2022-03-22
7865211,M,bilecik/merkez,Turkey,200.0,2012-12-08,2022-02-17
7868919,M,Antalya,Turkey,450.0,2012-12-10,2022-03-28
7879926,M,Sisli / Istanbul,Turkey,300.0,2012-12-16,2022-03-06
7885585,M,Çanakkale,Turkey,2050.0,2012-12-19,2022-02-27
7889125,M,yenişehir,Turkey,500.0,2012-12-22,2022-02-23
8292991,M,konya,Turkey,100.0,2012-12-27,2022-01-21
7906471,M,ankara/altındağ,Turkey,500.0,2013-01-01,2022-04-29
7931732,M,KAHRAMANMARAŞ,Turkey,300.0,2013-01-13,2022-01-21
7940424,M,İstanbul,Turkey,58.0,2013-01-18,2022-06-20
7964931,M,izmir,Turkey,150.0,2013-01-30,2022-01-12
8036351,M,İzmir,Turkey,750.0,2013-03-02,2022-01-23
8045100,M,Aydın/naziLLi,Turkey,100.0,2013-03-05,2022-06-26
8262599,M, ,Turkey,50.0,2013-04-06,2022-03-19
8142758,M,yenişehir/MERSİN,Turkey,200.0,2013-05-14,2022-04-22
8321461,M,bilecik/bozüyük,Turkey,100.0,2013-06-30,2022-06-07
8348431,M,Bursa,Turkey,2000.0,2013-08-04,2022-01-05
8368363,M,şanlıurfa,Turkey,400.0,2013-08-21,2022-06-13
8375018,M,diyarbakır,Turkey,200.0,2013-08-26,2022-01-21
8385398,M,Bursa,Turkey,100.0,2013-09-03,2022-03-23
8396600,M,elbistan,Turkey,100.0,2013-09-12,2022-04-25
8408152,F,diyarbakır,Turkey,43.0,2013-09-20,2022-04-17
8417906,M,Keçiören / Ankara,Turkey,100.0,2013-09-26,2022-04-26
8766926,M,ordu/ünye,Turkey,100.0,2013-10-08,2022-04-28
8769858,M,Başakşehir,Turkey,2000.0,2013-10-10,2022-04-26
8834928,M,yalova,Turkey,100.0,2013-11-03,2022-01-14
8845265,M,istanbuk/küçükçekmece,Turkey,700.0,2013-11-09,2022-02-11
8854091,M,istanbu,Turkey,500.0,2013-11-15,2022-03-25
8869859,M,Trabzon,Turkey,500.0,2013-11-27,2022-06-01
8888749,M,siirt,Turkey,27.0,2013-12-08,2022-04-04
8888834,M,istanbul buyukcekmece,Turkey,100.0,2013-12-08,2022-04-08
8900227,M,İstanbul,Turkey,200.0,2013-12-14,2022-02-13
8928020,M,izmir/bornova,Turkey,70.0,2013-12-31,2022-03-29
8934489,M,istanbul,Turkey,300.0,2014-01-04,2022-02-03
8940365,M,izmir / Buca,Turkey,1100.0,2014-01-07,2022-03-20
8963218,M,gölbaşı,Turkey,700.0,2014-01-22,2022-03-13
8965228,M,ankara mamak,Turkey,100.0,2014-01-23,2022-01-21
8997816,M,İstanbul/Sultangazi,Turkey,478.54,2014-02-10,2022-04-22
9017597,M,ankara,Turkey,200.0,2014-02-21,2022-02-12
9030148,M,Antalya,Turkey,3000.0,2014-02-27,2022-05-01
9074101,M,Ankara,Turkey,250.0,2014-03-23,2022-05-03
9087748,M,istanbul bahçelievler,Turkey,50.0,2014-03-31,2022-04-10
9092583,M,Avsallar,Turkey,50.0,2014-04-03,2022-02-13
9098618,M,diyarbakır / bağlar,Turkey,400.0,2014-04-06,2022-01-22
9099963,M,buyukcekmece ISTANBUL,Turkey,100.0,2014-04-06,2022-01-01
9104872,M,izmir,Turkey,100.0,2014-04-09,2022-03-21
9148990,M,yalvac,Turkey,70.0,2014-05-02,2022-01-15
9155691,M,hatay/antakya,Turkey,100.0,2014-05-06,2022-05-21
9167046,M,tarsus,Turkey,50.0,2014-05-13,2022-04-10
9172504,M,istanbul bahçelievler,Turkey,100.0,2014-05-16,2022-04-06
9176677,M,ankara,Turkey,500.0,2014-05-19,2022-06-03
9183856,M,izmir,Turkey,270.0,2014-05-23,2022-04-15
9228528,M,istanbul,Turkey,100.0,2014-06-13,2022-04-06
9235003,M,İstanbul,Turkey,50.0,2014-06-14,2022-04-06
9231918,M,İstanbul,Turkey,200.0,2014-06-14,2022-01-15
9249396,M,İstanbul,Turkey,100.0,2014-06-17,2022-04-06
9285499,M,İstanbul,Turkey,50.0,2014-06-30,2022-01-23
9303290,M,YEŞİLOVA / BURDUR,Turkey,100.0,2014-07-09,2022-03-14
9305399,M,çubuk,Turkey,500.0,2014-07-09,2022-05-29
9303562,M,Balıkesir,Turkey,100.0,2014-07-09,2022-02-11
9306010,M,Muğla,Turkey,2500.0,2014-07-10,2022-04-03
9314937,M,Aydın,Turkey,130.0,2014-07-14,2022-01-19
9317209,M,diyarbakır yenişehir,Turkey,200.0,2014-07-16,2022-05-20
9352576,M,sinop/gerze,Turkey,150.0,2014-08-10,2022-01-04
9354028,M,istanbul/beykoz,Turkey,110.0,2014-08-11,2022-06-05
9381805,M,merkez/kütahya,Turkey,200.0,2014-08-28,2022-06-08
9384177,M,Zeytinburnu-İst.,Turkey,200.0,2014-08-30,2022-05-06
9409686,M,merkez/edirne,Turkey,25.0,2014-09-14,2022-03-30
9413670,M,Erzurum Yakutiye ,Turkey,400.0,2014-09-15,2022-04-19
9422924,M,istanbul\üsküdar,Turkey,27.0,2014-09-19,2022-04-03
9426554,M,diyarbakır/bağlar,Turkey,2000.0,2014-09-21,2022-01-09
9438728,M,edirne keşan,Turkey,100.0,2014-09-26,2022-04-26
9459793,M,izmir bornova,Turkey,100.0,2014-10-05,2022-02-27
9463231,M,esenler,Turkey,50.0,2014-10-06,2022-04-10
9465888,M,ksk,Turkey,50.0,2014-10-08,2022-01-11
9467643,M,konya,Turkey,25.0,2014-10-08,2022-02-24
9471151,M,istanbul/sarıyer,Turkey,500.0,2014-10-10,2022-02-28
9471979,M,istanbul,Turkey,100.0,2014-10-10,2022-05-03
9474160,M,Diyarbakır,Turkey,100.0,2014-10-11,2022-04-26
9502252,M,çorlu tekirdağ,Turkey,310.0,2014-10-24,2022-05-22
9522162,M,elazığ,Turkey,120.0,2014-11-01,2022-04-18
9527839,M,gaziantep   şehitkamil,Turkey,500.0,2014-11-03,2022-03-09
9534724,M,PENDİK,Turkey,250.0,2014-11-05,2022-01-27
9535884,M,fethiye-mugla,Turkey,50.0,2014-11-06,2022-05-28
9547609,M,Ankara,Turkey,100.0,2014-11-10,2022-05-25
9574625,M,Karşıyaka,Turkey,250.0,2014-11-22,2022-04-06
9588352,M,kocaeli/izmit,Turkey,200.0,2014-11-27,2022-01-16
9589831,M,malatya/temelli,Turkey,250.0,2014-11-28,2022-03-19
9593331,M,Ankara,Turkey,70.0,2014-11-29,2022-04-11
9605010,M,antalya kumluca,Turkey,490.0,2014-12-04,2022-05-26
9605141,M,ordu/fatsa,Turkey,25.0,2014-12-04,2022-03-27
9608073,M,muratli/tekirdag,Turkey,65.0,2014-12-06,2022-02-14
9647576,M,kocaeli izmit,Turkey,250.0,2014-12-23,2022-02-14
9654102,M,istanbul,Turkey,400.0,2014-12-26,2022-03-07
9656818,M,İSTANBUL,Turkey,200.0,2014-12-28,2022-04-13
9661974,M,esenyurt istanbul,Turkey,500.0,2014-12-30,2022-01-01
9671205,M,Çorum,Turkey,1000.0,2015-01-04,2022-04-18
9676975,M,izmir bornova,Turkey,1500.0,2015-01-07,2022-02-13
9679844,M,İstanbul,Turkey,500.0,2015-01-09,2022-05-06
9685482,M,Kayseri,Turkey,25.0,2015-01-11,2022-02-02
9694328,M,ankara,Turkey,500.0,2015-01-16,2022-06-12
9732973,M,İSTANBUL/EYÜP,Turkey,93.0,2015-02-01,2022-03-27
9733678,M,kocaeli,Turkey,20.0,2015-02-01,2022-05-25
9736126,M,İstanbul/Bahçelievler,Turkey,180.0,2015-02-01,2022-05-16
9755080,M,Denizli/Merkez,Turkey,50.0,2015-02-06,2022-03-02
9763311,M,Ankara,Turkey,50.0,2015-02-07,2022-05-19
9767517,M,Çorum,Turkey,500.0,2015-02-08,2022-02-10
9765222,M,istanbul,Turkey,100.0,2015-02-08,2022-03-29
9776916,M,Diyarbakır,Turkey,85.0,2015-02-11,2022-05-22
9791493,M,ankara,Turkey,250.0,2015-02-14,2022-04-22
9792645,M,SORGUN,Turkey,100.0,2015-02-15,2022-03-06
9794263,M,antalya/muratpaşa,Turkey,100.0,2015-02-15,2022-02-09
9796174,M,istanbul,Turkey,100.0,2015-02-16,2022-03-29
9803525,M,yenişehir/d.bakır,Turkey,200.0,2015-02-19,2022-03-20
9811188,M,istanbul,Turkey,1000.0,2015-02-22,2022-05-04
9813635,M,muratpaşa/antalya,Turkey,100.0,2015-02-23,2022-01-08
9812498,M,Diyarbakır silvan,Turkey,100.0,2015-02-23,2022-02-17
9816597,M,Bartın MERKEZ,Turkey,200.0,2015-02-25,2022-04-21
9817897,M,konya/selçuklu,Turkey,500.0,2015-02-25,2022-03-23
9831999,M,istanbul/kağıthane,Turkey,100.0,2015-03-03,2022-03-18
9838484,M,istanbul,Turkey,1000.0,2015-03-05,2022-05-22
9842120,M,adana,Turkey,70.0,2015-03-06,2022-03-16
9846156,M,vezirkoprü,Turkey,50.0,2015-03-07,2022-05-25
9854716,M,ankara/altındağ,Turkey,1000.0,2015-03-10,2022-04-02
9860675,M,istanbul,Turkey,69.0,2015-03-13,2022-02-09
9868566,M,izmir tire,Turkey,1100.0,2015-03-16,2022-04-22
9882689,M,İstanbul,Turkey,100.0,2015-03-21,2022-02-14
9901045,M,ordu,Turkey,250.0,2015-03-27,2022-03-09
9922278,M,İstanbul,Turkey,100.0,2015-04-07,2022-01-23
9930825,M,Esenler,Turkey,200.0,2015-04-10,2022-02-08
9947493,M,Tepebaşı/Eskişehir,Turkey,1500.0,2015-04-17,2022-05-14
9949015,M,Tekirdağ,Turkey,2000.0,2015-04-18,2022-01-16
9975905,M,Diyarbakır,Turkey,250.0,2015-04-30,2022-05-03
9985201,M,bursa,Turkey,150.0,2015-05-04,2022-01-10
9995610,M,Diyarbakır,Turkey,500.0,2015-05-08,2022-02-15
10003248,M,istanbul/zeytinburnu,Turkey,100.0,2015-05-11,2022-03-18
10005240,M,zeytinburnu ,Turkey,100.0,2015-05-12,2022-04-28
10015653,M,mersin,Turkey,100.0,2015-05-16,2022-01-21
10017319,M,Ankara / Yenimahalle,Turkey,50.0,2015-05-16,2022-01-19
10025124,M,ankara,Turkey,990.0,2015-05-18,2022-06-13
10040518,M,İZMİR,Turkey,300.0,2015-05-24,2022-05-02
10047052,M,fatsa,Turkey,150.0,2015-05-27,2022-04-30
10046950,M,istanbul,Turkey,100.0,2015-05-27,2022-04-01
10048591,M,Sakarya,Turkey,100.0,2015-05-28,2022-02-27
10050920,M,eskişehir,Turkey,100.0,2015-05-29,2022-04-30
10063267,M,konya-selçuklu,Turkey,100.0,2015-06-03,2022-04-01
10070178,M,bursa iznik yesılcami mh karaca skk,Turkey,25.0,2015-06-05,2022-02-24
10073516,M,ankara,Turkey,49.0,2015-06-06,2022-02-23
10090275,M,zonguldak/eregli,Turkey,60.0,2015-06-12,2022-05-21
10091300,M,istanbul,Turkey,100.0,2015-06-12,2022-03-11
10089323,M,Pursaklar/ankara,Turkey,1449.93,2015-06-12,2022-05-15
10097577,M,samsun,Turkey,150.0,2015-06-15,2022-02-14
10100423,M,Sivas,Turkey,100.0,2015-06-16,2022-04-28
10102759,M,trabzon,Turkey,50.0,2015-06-17,2022-06-12
10116011,F,istanbul gaziosmanpasa,Turkey,50.0,2015-06-24,2022-02-28
10147181,M,ankara,Turkey,100.0,2015-07-13,2022-06-03
10169624,M,konya,Turkey,140.0,2015-07-26,2022-03-18
10651552,M,Hatay,Turkey,200.0,2015-07-28,2022-04-21
10663710,M,hatay,Turkey,3000.0,2015-08-04,2022-05-15
10669581,M,kocaeli/derince,Turkey,100.0,2015-08-06,2022-06-04
10682449,M,Kocaeli golcuk,Turkey,100.0,2015-08-12,2022-01-20
10682149,M,ankara ,Turkey,300.0,2015-08-12,2022-02-11
10685176,M,trabzön,Turkey,100.0,2015-08-13,2022-04-28
10687351,M,Kocaeli,Turkey,10000.0,2015-08-14,2022-06-07
10708581,M,Trabzon,Turkey,50.0,2015-08-23,2022-04-16
10713129,M,Kocaeli,Turkey,250.0,2015-08-24,2022-03-07
10716513,M,istanbul,Turkey,300.0,2015-08-26,2022-04-05
10727012,M,Trabzon,Turkey,90.0,2015-08-29,2022-02-21
10733562,M,Antalya,Turkey,300.0,2015-09-01,2022-01-17
10767913,M,İstanbul,Turkey,100.0,2015-09-13,2022-04-26
10779101,M,Tekirdağ ,Turkey,30.0,2015-09-16,2022-01-25
10791031,M,İstanbul,Turkey,1000.0,2015-09-19,2022-05-06
10814397,M,istanbul,Turkey,500.0,2015-09-26,2022-05-03
10823020,M,Ankara,Turkey,100.0,2015-09-29,2022-04-15
10828428,M,Ankara,Turkey,100.0,2015-09-30,2022-01-21
10829496,M,İzmir,Turkey,500.0,2015-10-01,2022-02-23
10833489,M,Mersin,Turkey,50.0,2015-10-02,2022-05-03
10850396,M,Güneş Apt Blok No:22 İç Kapı No:8 Çankaya Ankara,Turkey,250.0,2015-10-07,2022-02-18
10855675,M,nazilli,Turkey,300.0,2015-10-08,2022-01-21
10863548,M,istanbul_tuzla,Turkey,100.0,2015-10-11,2022-01-28
10863396,M,BALIKESİR,Turkey,100.0,2015-10-11,2022-05-21
10879894,M,şırnak cizre,Turkey,100.0,2015-10-16,2022-04-01
10883386,M,bornova,Turkey,50.0,2015-10-17,2022-01-11
10895361,M,İstanbul,Turkey,500.0,2015-10-20,2022-03-26
10904764,M,Muğla,Turkey,50.0,2015-10-22,2022-05-01
10917560,M,Perşembe ordu,Turkey,50.0,2015-10-25,2022-02-13
10923756,M,Antakya,Turkey,1000.0,2015-10-26,2022-04-09
10923804,M,Bursa Karacabey,Turkey,150.0,2015-10-26,2022-03-18
10941672,M,istanbul,Turkey,1250.0,2015-10-31,2022-06-14
10946123,M,ankara,Turkey,1000.0,2015-11-01,2022-03-16
10947737,M,Fethiyr,Turkey,250.0,2015-11-02,2022-03-03
10955716,M,aksaray,Turkey,500.0,2015-11-04,2022-04-22
10961675,M,antalya,Turkey,50.0,2015-11-05,2022-04-10
10966141,M,Bursa,Turkey,100.0,2015-11-07,2022-04-28
10968525,M,Güngören,Turkey,50.0,2015-11-07,2022-03-11
10976942,M,C,Turkey,100.0,2015-11-10,2022-03-13
11010000,M,adıyaman,Turkey,100.0,2015-11-20,2022-01-21
11031998,M,Konya,Turkey,250.0,2015-11-26,2022-03-07
11036897,M,Bitlis,Turkey,100.0,2015-11-27,2022-03-18
11046056,M,İzmir,Turkey,50.0,2015-11-30,2022-03-03
11083282,M,İstanbul,Turkey,50.0,2015-12-10,2022-03-03
11090132,M,İstanbul,Turkey,100.0,2015-12-12,2022-05-11
11099260,M,Bursa,Turkey,150.0,2015-12-15,2022-05-01
11100507,M,İstanbul,Turkey,100.0,2015-12-15,2022-04-22
11103197,M,Balıkesir,Turkey,100.0,2015-12-16,2022-04-28
11106463,M,İstanbul,Turkey,100.0,2015-12-17,2022-04-06
11107950,M,Bursa,Turkey,650.0,2015-12-18,2022-04-24
11128742,M,Osmaniye,Turkey,250.0,2015-12-25,2022-06-15
11137293,M,İstanbul,Turkey,70.0,2015-12-28,2022-05-14
11171555,M,Bursa,Turkey,2000.0,2016-01-10,2022-03-19
11188528,M,İstanbul,Turkey,100.0,2016-01-16,2022-02-07
11192529,M,Iğdır,Turkey,150.0,2016-01-17,2022-05-03
11202391,M,Trabzon,Turkey,50.0,2016-01-20,2022-02-17
11212399,M,Ankara,Turkey,100.0,2016-01-23,2022-02-04
11245526,M,Bursa,Turkey,300.0,2016-02-03,2022-04-19
11265738,M,Bursa,Turkey,100.0,2016-02-09,2022-03-23
11274351,M,Trabzon,Turkey,1000.0,2016-02-11,2022-01-03
11283885,M,Diyarbakır,Turkey,200.0,2016-02-14,2022-03-15
11292108,M,Zonguldak,Turkey,300.0,2016-02-16,2022-03-14
11296143,M,Antalya,Turkey,250.0,2016-02-17,2022-04-10
11337091,M,Diyarbakır,Turkey,170.0,2016-02-28,2022-06-10
11339573,M,Kırıkkale,Turkey,100.0,2016-02-29,2022-04-28
11354412,M,Gaziantep,Turkey,50.0,2016-03-04,2022-04-07
11361046,M,Kayseri,Turkey,100.0,2016-03-06,2022-02-11
11365602,M,İstanbul,Turkey,430.0,2016-03-08,2022-02-18
11371473,M,Sakarya,Turkey,50.0,2016-03-09,2022-04-30
11370125,M,Bilecik,Turkey,1000.0,2016-03-09,2022-01-17
11376419,M,Muğla,Turkey,100.0,2016-03-10,2022-04-01
11383969,M,İstanbul,Turkey,250.0,2016-03-12,2022-02-17
11385897,M,İstanbul,Turkey,100.0,2016-03-13,2022-04-22
11402188,M,Kocaeli,Turkey,1500.0,2016-03-17,2022-04-18
11406838,M,Bursa,Turkey,100.0,2016-03-18,2022-05-19
11407397,M,Erzurum,Turkey,1000.0,2016-03-19,2022-02-12
11413367,M,İstanbul,Turkey,175.0,2016-03-20,2022-05-15
11429192,M,İstanbul,Turkey,100.0,2016-03-25,2022-01-20
11432374,M,İstanbul,Turkey,200.0,2016-03-26,2022-05-21
11456738,M,Sakarya,Turkey,100.0,2016-04-04,2022-02-03
11480071,M,Ankara,Turkey,100.0,2016-04-10,2022-05-19
11504490,M,İstanbul,Turkey,250.0,2016-04-17,2022-05-17
11505052,M,Kemalpasa / İzmir,Turkey,500.0,2016-04-17,2022-02-05
11515841,M,Antalya,Turkey,345.0,2016-04-21,2022-04-19
11528935,M,İstanbul,Turkey,25.0,2016-04-24,2022-02-06
11552997,M,Şanlıurfa,Turkey,250.0,2016-04-30,2022-03-21
11553505,M,İstanbul,Turkey,63.0,2016-05-01,2022-05-18
11565642,M,Adana,Turkey,50.0,2016-05-04,2022-03-02
11578076,M,Adıyaman,Turkey,200.0,2016-05-07,2022-05-01
11582096,M,Niğde,Turkey,50.0,2016-05-08,2022-05-04
11592232,M,Amasya,Turkey,500.0,2016-05-11,2022-06-10
11613292,M,Burdur,Turkey,100.0,2016-05-17,2022-05-21
11622756,M,Edirne,Turkey,140.0,2016-05-20,2022-04-26
11630980,M,Muğla,Turkey,50.0,2016-05-23,2022-01-30
11654458,M,Kayseri,Turkey,150.0,2016-06-01,2022-04-29
11673726,M,Giresun,Turkey,50.0,2016-06-08,2022-01-01
11673671,M,Giresun,Turkey,50.0,2016-06-08,2022-02-13
11686919,M,İstanbul,Turkey,500.0,2016-06-11,2022-05-05
11723845,M,İzmir,Turkey,300.0,2016-06-22,2022-05-16
11739779,M,Ankara,Turkey,100.0,2016-06-28,2022-04-26
11756110,M,Antalya,Turkey,500.0,2016-07-04,2022-02-06
11771688,M,Konya,Turkey,100.0,2016-07-10,2022-03-02
11785729,M,Erzurum,Turkey,147.0,2016-07-18,2022-04-23
11818917,M,Antalya,Turkey,50.0,2016-08-06,2022-01-21
11825666,M,Aydın,Turkey,100.0,2016-08-09,2022-01-21
11832203,M,Diyarbakır,Turkey,302.0,2016-08-13,2022-05-20
11853151,M,Bursa,Turkey,2000.0,2016-08-23,2022-04-13
11862079,M,Bursa,Turkey,28.0,2016-08-26,2022-03-13
11865683,M,Gümüşhane,Turkey,50.0,2016-08-27,2022-01-08
11871454,M,Bursa,Turkey,25.0,2016-08-30,2022-04-02
11872140,M,İstanbul,Turkey,100.0,2016-08-30,2022-03-02
11896300,M,Muğla,Turkey,90.0,2016-09-09,2022-04-22
11925874,M,Antalya,Turkey,75.0,2016-09-19,2022-02-12
11935220,M,Batman,Turkey,100.0,2016-09-22,2022-02-16
11965216,M,İzmir,Turkey,50.0,2016-10-02,2022-03-02
11992701,M,Artvin,Turkey,100.0,2016-10-12,2022-04-28
11997163,M,Ağrı,Turkey,1000.0,2016-10-13,2022-03-08
12049595,M,Hatay,Turkey,100.0,2016-10-29,2022-05-07
12058403,M,Bursa,Turkey,100.0,2016-10-31,2022-01-20
12061105,M,İstanbul,Turkey,50.0,2016-11-01,2022-05-18
12084808,M,Bartın,Turkey,100.0,2016-11-09,2022-04-28
12101310,M,İstanbul,Turkey,250.0,2016-11-14,2022-03-10
12103915,M,Kocaeli,Turkey,9950.0,2016-11-15,2022-06-04
12107582,M,Ordu,Turkey,600.0,2016-11-17,2022-01-29
12110075,M,Sakarya,Turkey,50.0,2016-11-17,2022-05-03
12120726,M,Bartın,Turkey,100.0,2016-11-21,2022-01-21
12127598,M,Erzurum,Turkey,50.0,2016-11-23,2022-03-02
12143028,M,Bingöl,Turkey,300.0,2016-11-27,2022-03-02
12149888,M,Çanakkale,Turkey,1000.0,2016-11-29,2022-04-01
12164965,M,Adana,Turkey,100.0,2016-12-04,2022-02-10
12169913,M,Bursa,Turkey,300.0,2016-12-06,2022-01-15
12178579,M,İstanbul,Turkey,25.0,2016-12-09,2022-01-02
12190601,M,Ankara,Turkey,100.0,2016-12-13,2022-04-26
12196646,M,İzmir,Turkey,100.0,2016-12-15,2022-01-28
12201837,M,Antalya,Turkey,1410.0,2016-12-16,2022-04-23
12208087,M,Ordu,Turkey,1300.0,2016-12-18,2022-05-22
12211163,M,İzmir,Turkey,100.0,2016-12-20,2022-01-17
12211201,M,İstanbul,Turkey,500.0,2016-12-20,2022-02-22
12215153,M,Erzurum,Turkey,300.0,2016-12-21,2022-04-30
12216512,M,Bursa,Turkey,100.0,2016-12-22,2022-04-26
12234018,M,İstanbul,Turkey,50.0,2016-12-29,2022-01-01
12249972,M,Düzce,Turkey,300.0,2017-01-04,2022-01-05
12249265,M,Giresun,Turkey,100.0,2017-01-04,2022-05-19
12248960,M,Mersin,Turkey,50.0,2017-01-04,2022-04-27
12278382,M,Adana,Turkey,100.0,2017-01-15,2022-04-19
12279008,M,Balıkesir,Turkey,1000.0,2017-01-16,2022-04-20
12279736,M,Mardin,Turkey,100.0,2017-01-16,2022-05-02
